zincid,Binder,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,Notes,smiles,score,hac
ZINC000362430581,0,,,,NT,32.25,,C[C@H](C(=O)NCc1ccccc1Cl)N1C[C@H](C)[C@H](C)C1,-66.85,20.0
ZINC000425345543,1,2540,>10000,>10000,31550,85.80,,COc1cc(NC(=O)CN[C@@H]2CC[C@@H](C)[C@H](C)C2)cc(OC)c1,-66.85,23.0
ZINC000651686924,1,2570,>10000,>10000,21490,75.70,,Cc1nn(-c2cccc(C)c2)cc1CN[C@@H]1c2ccccc2C[C@@H]1O,-66.84,25.0
ZINC000450226409,0,,,,NT,24.30,,C[C@@H](c1ccccc1)[C@H](O)CN(C)Cc1ccccc1[N+](=O)[O-],-66.74,23.0
ZINC000661656736,0,,,,NT,31.40,,C[C@H](C(=O)Nc1cccc(C(F)(F)F)c1)N(C)CC1=CCCOC1,-66.61,24.0
ZINC000271789537,0,,,,NT,4.78,,C[C@@H](NCC1(O)CCOCC1)c1cccc(N2CCCC2)c1,-66.6,22.0
ZINC000368226385,1,1170,>10000,>10000,NT,71.18,,C[C@H](NCc1c[nH]c(-c2ccc(Cl)cc2)n1)[C@H]1CCCO1,-66.51,21.0
ZINC000497495625,0,,,,NT,59.39,,Cc1ccsc1CNC(=O)CN1CCC[C@H]1C1CCCC1,-66.48,21.0
ZINC000072898724,0,,,,NT,1.06,,CC(=O)c1ccc(NC(=O)[C@@H](C)N2CCC3(C2)CCOCC3)cc1,-66.45,24.0
ZINC000610680867,0,,,,NT,13.40,,CCc1ccccc1NC(=O)CN(C)CCn1c(C)ncc1[N+](=O)[O-],-66.34,25.0
ZINC000293543779,1,1210,>10000,>10000,133,88.56,,C[C@H]1CN(C2CC2)C[C@H]1NC(=O)c1cnc2c(F)ccc(F)c2c1,-66.3,24.0
ZINC000357551804,0,,,,NT,39.11,,CC[C@H]1CC[C@H](C)N1CC(=O)NCCc1cccc2cccnc21,-66.22,24.0
ZINC000639558608,0,,,,NT,22.18,,C[C@H](c1nnc(-c2ccc3ccccc3c2)o1)N1C[C@@H](C)[C@@H](O)C1,-66.2,24.0
ZINC000562713783,0,,,,NT,41.37,,O=S(=O)(N[C@@H]1CCN(C2CCCC2)C1)c1cc2cc(F)ccc2o1,-66.04,24.0
ZINC000135488461,0,,,,NT,47.51,,CSC[C@H]1CCCN1CC(=O)Nc1ccc(C(C)=O)cc1,-66.01,21.0
ZINC000154146881,0,,,,NT,18.13,,COc1ccc(CNC(=O)CN(C)[C@H]2CCSC2)c(OC)c1,-65.97,22.0
ZINC000419278537,1,1130,>10000,>10000,ND,81.25,,CC[C@]1(O)CCN(Cc2cc(-c3ccccc3Cl)on2)C1,-65.97,21.0
ZINC000290372608,0,,,,NT,58.69,,O[C@H]1c2ccccc2OC[C@@H]1NC1CC(c2ccccc2)C1,-65.94,22.0
ZINC000377628890,0,,,,NT,48.56,,COc1cccc(CNC2CC(c3cccc(C)c3)C2)c1O,-65.9,22.0
ZINC000591068587,0,,,,NT,43.46,,CCN1C[C@H](C)[C@H](NC(=O)[C@@H]2C[C@H]2c2ccc([N+](=O)[O-])cc2)C1,-65.8,23.0
ZINC000609076791,1,330,>10000,>10000,31540,79.58,,Cc1ccc(C(=O)NC[C@@H](C)N2CCCC2)cc1I,-65.79,19.0
ZINC000374072306,0,,,,NT,2.49,,O[C@@H]1CCCC[C@H]1[C@@H]1CCCN1Cc1nnc(-c2ccccc2)o1,-65.77,24.0
ZINC000572302473,1,910,>10000,>10000,ND,90.99,,CC1(C)CCN(CC(=O)NC[C@@H]2CCC[C@H]2C2CC2)C1,-65.77,20.0
ZINC000639585864,0,,,,NT,-5.76,,CN(Cc1nnc(-c2cccc3ccccc32)o1)CC1(O)CCC1,-65.77,24.0
ZINC000412694364,0,,,,NT,17.02,,C[C@H]1CN(C(=O)c2cnn(CCF)c2)CCN1Cc1ccccc1,-65.74,24.0
ZINC000657699696,0,,,,NT,34.83,,Cc1nn(-c2ccccc2Cl)cc1CNCC(O)(C1CC1)C1CC1,-65.73,24.0
